[2021-03-31 15:15:24,895.895] conftest.py -> login:10 [INFO] : Initialize
[2021-03-31 15:15:29,143.143] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 15:15:29,249.249] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 15:15:29,939.939] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 15:15:31,683.683] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 15:15:43,463.463] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->2 time <case:login>
[2021-03-31 15:15:45,480.480] login_handler.py -> slide_verify_btn:47 [INFO] : Traceback (most recent call last):
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/Handler/login_handler.py", line 38, in slide_verify_btn
    slide_bar = self.driver.get_verify_element()
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/Page/login_page.py", line 38, in get_verify_element
    return self.fe.find_element('login_verify_slideBar')
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/tools/find_elements.py", line 14, in find_element
    return self.driver.find_element_by_xpath(data[1])
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/venv/lib/python3.8/site-packages/selenium/webdriver/remote/webdriver.py", line 394, in find_element_by_xpath
    return self.find_element(by=By.XPATH, value=xpath)
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/venv/lib/python3.8/site-packages/selenium/webdriver/remote/webdriver.py", line 976, in find_element
    return self.execute(Command.FIND_ELEMENT, {
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/venv/lib/python3.8/site-packages/selenium/webdriver/remote/webdriver.py", line 321, in execute
    self.error_handler.check_response(response)
  File "/Users/chenrongtao/PycharmProjects/QQMail-EmptyTrash/venv/lib/python3.8/site-packages/selenium/webdriver/remote/errorhandler.py", line 242, in check_response
    raise exception_class(message, screen, stacktrace)
selenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {"method":"xpath","selector":"//*[@id='tcaptcha_drag_thumb']"}
  (Session info: chrome=89.0.4389.90)


[2021-03-31 15:16:06,229.229] conftest.py -> login:10 [INFO] : Initialize
[2021-03-31 15:16:25,168.168] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 15:16:25,260.260] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 15:16:25,922.922] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 15:16:27,631.631] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 15:16:39,427.427] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->2 time <case:login>
[2021-03-31 15:16:51,157.157] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->3 time <case:login>
[2021-03-31 15:17:02,881.881] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->4 time <case:login>
[2021-03-31 15:17:14,592.592] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->5 time <case:login>
[2021-03-31 15:34:40,662.662] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 15:35:00,174.174] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 15:35:00,269.269] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 15:35:00,945.945] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 15:35:02,709.709] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 15:35:14,446.446] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->2 time <case:login>
[2021-03-31 15:35:27,666.666] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 15:46:16,346.346] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 15:46:35,440.440] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 15:46:35,542.542] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 15:46:36,209.209] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 15:46:37,937.937] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 15:46:51,082.82] main_business.py -> qc_empyt_all_deleted_mail:57 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 15:46:54,485.485] main_business.py -> qc_empyt_all_deleted_mail:63 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 15:47:03,095.95] main_business.py -> qc_empyt_all_deleted_mail:70 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 15:47:06,259.259] main_business.py -> qc_empyt_all_deleted_mail:79 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 15:47:10,738.738] del_all_deleted_mail.py -> test_del_deleted_mail:48 [INFO] : assert 6=6test_del_deleted_mail
[2021-03-31 15:47:10,743.743] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 16:00:55,478.478] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 16:01:14,603.603] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 16:01:14,693.693] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 16:01:15,334.334] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 16:01:17,025.25] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 16:01:30,159.159] main_business.py -> qc_empyt_all_deleted_mail:57 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 16:01:33,506.506] main_business.py -> qc_empyt_all_deleted_mail:63 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 16:01:42,070.70] main_business.py -> qc_empyt_all_deleted_mail:70 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 16:01:45,220.220] main_business.py -> qc_empyt_all_deleted_mail:79 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 16:01:49,683.683] del_all_deleted_mail.py -> test_del_deleted_mail:47 [INFO] : assert 6=6test_del_deleted_mail
[2021-03-31 16:01:49,687.687] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 16:09:02,026.26] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 16:09:21,074.74] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 16:09:21,176.176] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 16:09:21,800.800] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 16:09:23,514.514] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 16:09:35,293.293] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->2 time <case:login>
[2021-03-31 16:09:48,414.414] main_business.py -> qc_empyt_all_deleted_mail:60 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 16:09:51,784.784] main_business.py -> qc_empyt_all_deleted_mail:66 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 16:10:00,699.699] main_business.py -> qc_empyt_all_deleted_mail:73 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 16:10:04,056.56] main_business.py -> qc_empyt_all_deleted_mail:82 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 16:10:08,834.834] del_all_deleted_mail.py -> test_del_deleted_mail:47 [INFO] : assert 6=6test_del_deleted_mail
[2021-03-31 16:10:08,887.887] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 16:14:53,057.57] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 16:15:12,099.99] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 16:15:12,204.204] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 16:15:12,842.842] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 16:15:14,568.568] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 16:15:27,725.725] main_business.py -> qc_empyt_all_deleted_mail:60 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 16:15:31,082.82] main_business.py -> qc_empyt_all_deleted_mail:66 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 16:15:39,676.676] main_business.py -> qc_empyt_all_deleted_mail:73 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 16:15:42,840.840] main_business.py -> qc_empyt_all_deleted_mail:82 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 16:15:47,312.312] del_all_deleted_mail.py -> test_del_deleted_mail:47 [INFO] : assert 6=6test_del_deleted_mail
[2021-03-31 16:15:47,353.353] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 16:21:15,371.371] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 16:21:34,324.324] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 16:21:34,415.415] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 16:21:35,078.78] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 16:21:36,805.805] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 16:21:49,925.925] main_business.py -> qc_empyt_all_deleted_mail:60 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 16:21:53,284.284] main_business.py -> qc_empyt_all_deleted_mail:66 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 16:22:01,848.848] main_business.py -> qc_empyt_all_deleted_mail:73 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 16:22:05,007.7] main_business.py -> qc_empyt_all_deleted_mail:82 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 16:22:09,487.487] del_all_deleted_mail.py -> test_del_deleted_mail:47 [INFO] : assert 6=6test_del_deleted_mail
[2021-03-31 16:22:09,564.564] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 16:24:36,536.536] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 16:24:55,940.940] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 16:24:56,040.40] login_business.py -> login_in:25 [INFO] : input password <case:login>
[2021-03-31 16:24:56,721.721] login_business.py -> login_in:28 [INFO] : click login button <case:login>
[2021-03-31 16:24:59,047.47] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->1 time <case:login>
[2021-03-31 16:25:35,790.790] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->2 time <case:login>
[2021-03-31 16:25:52,186.186] login_handler.py -> slide_verify_btn:35 [INFO] : start to login verify ---->3 time <case:login>
[2021-03-31 16:26:05,297.297] main_business.py -> qc_empyt_all_deleted_mail:60 [INFO] : click deleted button <case:test_del_deleted_mail>
[2021-03-31 16:26:08,654.654] main_business.py -> qc_empyt_all_deleted_mail:66 [INFO] : choose mail one by one <case:test_del_deleted_mail>
[2021-03-31 16:26:17,287.287] main_business.py -> qc_empyt_all_deleted_mail:73 [INFO] : click quick delete button <case:test_del_deleted_mail>
[2021-03-31 16:26:20,440.440] main_business.py -> qc_empyt_all_deleted_mail:82 [INFO] : click cancel button <case:test_del_deleted_mail>
[2021-03-31 16:26:24,900.900] del_all_deleted_mail.py -> test_del_deleted_mail:47 [INFO] : assert 6=6test_del_deleted_mail
[2021-03-31 16:26:37,519.519] conftest.py -> login:20 [INFO] : End of test! TearDown!
[2021-03-31 16:33:47,838.838] conftest.py -> login:11 [INFO] : Initialize
[2021-03-31 16:34:06,957.957] login_business.py -> login_in:23 [INFO] : input username <case:login>
[2021-03-31 16:34:07,049.49] login_business.py -> login_in:25 [INFO] : input password <case:login>
